sensor_count,samples,train_epochs,train_time_seconds,test_accuracy,repetitions,total_predictions,elapsed_seconds,per_sample_seconds,samples_per_second,prediction_window_seconds,window_utilisation,current_memory_bytes,peak_memory_bytes
750.0,1600.0,5.0,0.4490865140001006,0.9775,6.0,9600.0,2.680228208000017,0.0002791904383333351,3581.784555264982,10.0,2.791904383333351e-05,80.0,14856.0
1500.0,1600.0,5.0,1.071691747000159,0.9675,6.0,9600.0,5.01307336900004,0.0005221951426041708,1914.9929181896089,10.0,5.221951426041708e-05,80.0,14856.0
2250.0,1600.0,5.0,1.3565700599999673,0.9525,6.0,9600.0,6.98931778799988,0.0007280539362499876,1373.5246115840462,10.0,7.280539362499876e-05,80.0,14856.0
3000.0,1600.0,5.0,1.7839544149999256,0.9575,6.0,9600.0,9.513195481000139,0.0009909578626041812,1009.1246436776399,10.0,9.909578626041813e-05,80.0,14856.0
